subset,with_imputation,without_imputation
1st,0.9189047619047618,0.7575238095238095
2nd,0.035377777777777786,0.7298138528138527
all,0.6843217893217893,0.48384126984126985
arcanjo,0.8818412698412699,0.7509783549783549
laines,0.9447619047619047,0.6052326562326562
